origen,destino,peso,dias_diff
1152,1093,1,0
1123,1093,1,0
541,542,1,0
539,670,0.333333,2
537,534,1,0
535,492,1,0
530,492,1,0
529,492,1,0
528,492,1,0
527,492,1,0
526,492,1,0
522,492,1,0
521,492,1,0
520,492,1,0
519,492,1,0
518,492,1,0
517,492,1,0
514,492,1,0
502,492,1,0
501,492,1,0
493,492,1,0
490,488,1,0
489,445,0.5,1
485,482,1,0
484,482,1,0
481,454,1,0
479,454,1,0
478,454,1,0
474,454,1,0
473,454,1,0
470,121,0.142857,6
469,121,0.142857,6
468,121,0.142857,6
464,444,1,0
462,444,1,0
461,315,0.5,1
459,121,0.142857,6
458,121,0.142857,6
456,429,1,0
454,441,1,0
454,442,1,0
454,443,1,0
454,446,1,0
454,448,1,0
453,439,1,0
451,915,0.142857,6
450,444,1,0
449,121,0.142857,6
447,350,0.5,1
444,438,1,0
440,315,0.5,1
437,315,0.5,1
436,329,0.5,1
435,368,0.5,1
433,368,0.5,1
432,429,1,0
431,368,0.5,1
430,329,0.5,1
429,425,1,0
427,329,0.5,1
426,329,0.5,1
424,423,1,0
422,329,0.5,1
417,307,1,0
413,307,1,0
409,307,1,0
405,307,1,0
398,307,1,0
397,307,1,0
395,307,1,0
391,307,1,0
390,307,1,0
389,307,1,0
384,307,1,0
380,307,1,0
379,307,1,0
376,121,0.166667,5
375,331,1,0
374,331,1,0
372,323,1,0
371,155,0.2,4
370,350,1,0
367,331,1,0
366,331,1,0
364,331,1,0
360,331,1,0
359,353,1,0
357,331,1,0
354,331,1,0
353,286,0.5,1
353,341,1,0
353,941,0.125,7
353,942,0.125,7
353,943,0.125,7
353,944,0.125,7
351,350,1,0
350,317,1,0
350,926,0.125,7
350,927,0.125,7
350,928,0.125,7
349,331,1,0
348,331,1,0
346,331,1,0
345,331,1,0
344,331,1,0
342,331,1,0
340,329,1,0
337,331,1,0
336,329,1,0
335,331,1,0
334,331,1,0
333,326,1,0
333,327,1,0
329,266,0.5,1
329,270,0.5,1
328,213,0.333333,2
318,315,1,0
295,263,1,0
290,155,0.25,3
289,215,0.5,1
285,280,1,0
283,280,1,0
269,265,1,0
261,242,1,0
127,104,1,0
124,196,0.333333,2
121,971,0.0769231,12
121,972,0.0769231,12
120,76,0.5,1
119,117,1,0
118,117,1,0
116,109,1,0
111,109,1,0
105,132,0.5,1
99,176,0.25,3
97,26,0.25,3
97,27,0.25,3
97,58,0.5,1
97,73,0.5,1
93,92,1,0
90,196,0.25,3
88,176,0.25,3
87,128,0.5,1
85,81,1,0
81,78,1,0
81,79,1,0
81,80,1,0
75,64,1,0
74,64,1,0
72,30,0.333333,2
71,30,0.333333,2
65,64,1,0
29,12,0.25,3
23,17,1,0
22,20,1,0
22,21,1,0
19,17,1,0
3,4,0.333333,2
3,5,0.333333,2
3,6,0.333333,2
12,13,1,0
12,41,0.25,3
12,42,0.25,3
12,43,0.25,3
12,44,0.25,3
33,37,1,0
46,49,1,0
47,49,1,0
48,49,1,0
49,55,1,0
49,57,1,0
130,158,1,0
131,133,1,0
131,134,1,0
131,136,1,0
131,145,1,0
138,146,1,0
138,147,1,0
138,148,1,0
138,153,1,0
138,163,1,0
138,165,1,0
138,166,1,0
138,167,1,0
138,169,1,0
138,171,1,0
138,172,1,0
155,157,1,0
176,224,0.5,1
177,178,1,0
178,179,1,0
178,197,1,0
178,200,1,0
180,182,1,0
183,185,1,0
183,187,1,0
183,188,1,0
183,192,1,0
205,206,1,0
211,212,1,0
211,222,1,0
211,229,1,0
211,230,1,0
213,951,0.1,9
213,952,0.1,9
213,953,0.1,9
213,954,0.1,9
213,955,0.1,9
214,215,1,0
218,219,1,0
219,220,1,0
225,227,1,0
226,227,1,0
227,231,1,0
232,235,1,0
233,235,1,0
234,235,1,0
236,237,1,0
241,242,1,0
242,246,1,0
242,247,1,0
242,252,1,0
242,253,1,0
242,257,1,0
542,543,1,0
542,544,1,0
542,545,1,0
542,546,1,0
542,591,1,0
547,689,0.5,1
553,562,1,0
553,580,1,0
553,585,1,0
553,588,1,0
600,670,0.5,1
604,608,1,0
605,608,1,0
606,702,0.5,1
607,675,0.5,1
608,668,0.5,1
608,671,0.5,1
608,672,0.5,1
608,673,0.5,1
609,656,1,0
609,657,1,0
609,658,1,0
609,669,1,0
609,678,1,0
609,680,1,0
615,620,1,0
616,620,1,0
617,620,1,0
620,661,1,0
621,622,1,0
622,624,1,0
622,625,1,0
622,626,1,0
622,628,1,0
622,629,1,0
622,631,1,0
622,632,1,0
622,633,1,0
622,635,1,0
622,637,1,0
622,639,1,0
622,642,1,0
622,648,1,0
622,650,1,0
622,652,1,0
622,653,1,0
659,711,0.5,1
660,711,0.5,1
663,675,1,0
664,675,1,0
665,675,1,0
666,675,1,0
667,675,1,0
670,718,0.5,1
674,675,1,0
690,703,0.5,1
691,692,1,0
691,693,1,0
691,694,1,0
691,695,1,0
691,696,1,0
691,697,1,0
691,698,1,0
701,702,1,0
