componente_id,nodo_id,tamano_componente
0,1161,1
1,1160,1
2,1159,1
3,1158,1
4,1157,1
5,1156,1
6,1155,1
7,1154,1
8,1153,1
9,1152,4
9,1093,4
9,1123,4
9,1096,4
10,1151,1
11,1150,1
12,1149,1
13,1148,1
14,1147,1
15,1146,1
16,1145,1
17,1144,1
18,1143,1
19,1142,1
20,1141,1
21,1140,1
22,1139,1
23,1138,1
24,1137,1
25,1136,1
26,1135,1
27,1134,1
28,1133,1
29,1132,1
30,1131,1
31,1130,1
32,1129,1
33,1128,1
34,1127,1
35,1126,1
36,1125,1
37,1124,1
38,1122,1
39,1121,1
40,1120,1
41,1119,1
42,1118,1
43,1117,1
44,1116,1
45,1115,1
46,1114,1
47,1113,1
48,1112,1
49,1111,1
50,1110,1
51,541,7
51,542,7
51,591,7
51,546,7
51,545,7
51,544,7
51,543,7
52,540,1
53,539,4
53,670,4
53,718,4
53,600,4
54,538,1
55,537,2
55,534,2
56,536,1
57,535,17
57,492,17
57,530,17
57,529,17
57,528,17
57,527,17
57,526,17
57,522,17
57,521,17
57,520,17
57,519,17
57,518,17
57,517,17
57,514,17
57,502,17
57,501,17
57,493,17
58,533,1
59,532,1
60,531,1
61,525,1
62,524,1
63,523,1
64,516,1
65,515,1
66,513,1
67,512,1
68,511,1
69,510,1
70,509,1
71,508,1
72,507,1
73,506,1
74,505,1
75,504,1
76,503,1
77,500,1
78,499,1
79,498,1
80,497,1
81,496,1
82,495,1
83,494,1
84,491,1
85,490,2
85,488,2
86,489,2
86,445,2
87,487,1
88,486,1
89,485,3
89,482,3
89,484,3
90,483,1
91,481,11
91,454,11
91,479,11
91,478,11
91,474,11
91,473,11
91,448,11
91,446,11
91,443,11
91,442,11
91,441,11
92,480,1
93,477,1
94,476,1
95,475,1
96,472,1
97,471,1
98,470,10
98,121,10
98,972,10
98,971,10
98,469,10
98,468,10
98,459,10
98,458,10
98,449,10
98,376,10
99,467,1
100,466,1
101,465,1
102,464,5
102,444,5
102,462,5
102,450,5
102,438,5
103,463,1
104,461,5
104,315,5
104,440,5
104,437,5
104,318,5
105,460,1
106,457,1
107,456,4
107,429,4
107,432,4
107,425,4
108,455,1
109,453,2
109,439,2
110,452,1
111,451,2
111,915,2
112,447,8
112,350,8
112,928,8
112,927,8
112,926,8
112,370,8
112,351,8
112,317,8
113,436,10
113,329,10
113,430,10
113,427,10
113,426,10
113,422,10
113,340,10
113,336,10
113,270,10
113,266,10
114,435,4
114,368,4
114,433,4
114,431,4
115,434,1
116,428,1
117,424,2
117,423,2
118,421,1
119,420,1
120,419,1
121,418,1
122,417,14
122,307,14
122,413,14
122,409,14
122,405,14
122,398,14
122,397,14
122,395,14
122,391,14
122,390,14
122,389,14
122,384,14
122,380,14
122,379,14
123,416,1
124,415,1
125,414,1
126,412,1
127,411,1
128,410,1
129,408,1
130,407,1
131,406,1
132,404,1
133,403,1
134,402,1
135,401,1
136,400,1
137,399,1
138,396,1
139,394,1
140,393,1
141,392,1
142,388,1
143,387,1
144,386,1
145,385,1
146,383,1
147,382,1
148,381,1
149,378,1
150,377,1
151,375,18
151,331,18
151,374,18
151,367,18
151,366,18
151,364,18
151,360,18
151,357,18
151,354,18
151,349,18
151,348,18
151,346,18
151,345,18
151,344,18
151,342,18
151,337,18
151,335,18
151,334,18
152,373,1
153,372,2
153,323,2
154,371,4
154,155,4
154,290,4
154,157,4
155,369,1
156,365,1
157,363,1
158,362,1
159,361,1
160,359,8
160,353,8
160,944,8
160,943,8
160,942,8
160,941,8
160,341,8
160,286,8
161,358,1
162,356,1
163,355,1
164,352,1
165,347,1
166,343,1
167,339,1
168,338,1
169,333,3
169,327,3
169,326,3
170,332,1
171,330,1
172,328,7
172,213,7
172,955,7
172,954,7
172,953,7
172,952,7
172,951,7
173,325,1
174,324,1
175,322,1
176,321,1
177,320,1
178,319,1
179,316,1
180,314,1
181,313,1
182,312,1
183,311,1
184,310,1
185,309,1
186,308,1
187,306,1
188,305,1
189,304,1
190,303,1
191,302,1
192,301,1
193,300,1
194,299,1
195,298,1
196,297,1
197,296,1
198,295,2
198,263,2
199,294,1
200,293,1
201,292,1
202,291,1
203,289,3
203,215,3
203,214,3
204,288,1
205,287,1
206,285,3
206,280,3
206,283,3
207,284,1
208,282,1
209,281,1
210,279,1
211,278,1
212,277,1
213,276,1
214,275,1
215,274,1
216,273,1
217,272,1
218,271,1
219,269,2
219,265,2
220,268,1
221,267,1
222,264,1
223,262,1
224,261,8
224,242,8
224,257,8
224,253,8
224,252,8
224,247,8
224,246,8
224,241,8
225,260,1
226,259,1
227,258,1
228,127,2
228,104,2
229,126,1
230,125,1
231,124,3
231,196,3
231,90,3
232,123,1
233,122,1
234,120,2
234,76,2
235,119,3
235,117,3
235,118,3
236,116,3
236,109,3
236,111,3
237,115,1
238,114,1
239,113,1
240,112,1
241,110,1
242,108,1
243,107,1
244,106,1
245,105,2
245,132,2
246,103,1
247,102,1
248,101,1
249,100,1
250,99,4
250,176,4
250,224,4
250,88,4
251,98,1
252,97,5
252,73,5
252,58,5
252,27,5
252,26,5
253,96,1
254,95,1
255,94,1
256,93,2
256,92,2
257,91,1
258,89,1
259,87,2
259,128,2
260,86,1
261,85,5
261,81,5
261,80,5
261,79,5
261,78,5
262,84,1
263,83,1
264,82,1
265,77,1
266,75,4
266,64,4
266,74,4
266,65,4
267,72,3
267,30,3
267,71,3
268,70,1
269,69,1
270,68,1
271,67,1
272,66,1
273,63,1
274,62,1
275,61,1
276,60,1
277,29,7
277,12,7
