tick,S,I,R
0,444,54,2
1,382,112,6
2,282,204,14
3,147,324,29
4,55,399,46
5,28,398,74
6,11,393,96
7,7,362,131
8,3,344,153
9,1,318,181
10,1,293,206
11,1,275,224
12,1,253,246
13,1,239,260
14,1,227,272
15,1,211,288
16,1,196,303
17,1,183,316
18,1,168,331
19,1,161,338
20,1,145,354
21,1,133,366
22,1,127,372
23,1,115,384
24,1,107,392
25,1,103,396
26,1,98,401
27,1,91,408
28,1,82,417
29,1,73,426
30,1,70,429
31,1,64,435
32,1,60,439
33,1,54,445
34,1,52,447
35,1,48,451
36,1,47,452
37,1,45,454
38,1,44,455
39,1,38,461
40,1,31,468
41,1,29,470
42,1,28,471
43,1,28,471
44,1,26,473
45,1,25,474
46,1,22,477
47,1,22,477
48,1,21,478
49,1,20,479
50,1,19,480
51,1,18,481
52,1,16,483
53,1,13,486
54,1,12,487
55,1,12,487
56,1,12,487
57,1,11,488
58,1,9,490
59,1,8,491
