tick,S,I,R
0,455,43,2
1,428,68,4
2,392,100,8
3,336,150,14
4,286,191,23
5,246,217,37
6,207,239,54
7,171,257,72
8,146,263,91
9,123,265,112
10,98,277,125
11,79,278,143
12,61,276,163
13,51,269,180
14,40,262,198
15,33,253,214
16,29,240,231
17,28,225,247
18,27,209,264
19,23,196,281
20,23,176,301
21,22,165,313
22,22,155,323
23,22,147,331
24,22,132,346
25,22,120,358
26,22,117,361
27,22,112,366
28,22,102,376
29,22,94,384
30,21,87,392
31,21,82,397
32,21,79,400
33,21,75,404
34,21,66,413
35,21,62,417
36,21,56,423
37,21,49,430
38,21,46,433
39,21,44,435
40,21,39,440
41,21,36,443
42,21,33,446
43,21,30,449
44,21,29,450
45,21,27,452
46,21,25,454
47,21,22,457
48,21,19,460
49,21,16,463
50,21,15,464
51,21,12,467
52,21,9,470
53,21,7,472
54,21,6,473
55,21,6,473
56,21,5,474
57,21,5,474
58,21,4,475
59,21,4,475
