tick,S,I,R
0,448,49,3
1,410,84,6
2,344,144,12
3,278,200,22
4,205,255,40
5,139,308,53
6,87,341,72
7,43,361,96
8,23,356,121
9,11,338,151
10,4,326,170
11,1,301,198
12,0,278,222
13,0,256,244
14,0,238,262
15,0,222,278
16,0,209,291
17,0,196,304
18,0,182,318
19,0,168,332
20,0,153,347
21,0,136,364
22,0,125,375
23,0,116,384
24,0,108,392
25,0,100,400
26,0,92,408
27,0,90,410
28,0,83,417
29,0,79,421
30,0,75,425
31,0,72,428
32,0,64,436
33,0,61,439
34,0,53,447
35,0,53,447
36,0,49,451
37,0,45,455
38,0,44,456
39,0,42,458
40,0,39,461
41,0,37,463
42,0,37,463
43,0,34,466
44,0,30,470
45,0,29,471
46,0,26,474
47,0,25,475
48,0,21,479
49,0,21,479
50,0,16,484
51,0,13,487
52,0,12,488
53,0,12,488
54,0,12,488
55,0,10,490
56,0,10,490
57,0,10,490
58,0,9,491
59,0,9,491
