tick,S,I,R
0,631,435,37
1,629,414,60
2,627,396,80
3,626,367,110
4,621,344,138
5,621,319,163
6,619,300,184
7,619,282,202
8,617,268,218
9,616,254,233
10,615,233,255
11,613,226,264
12,610,214,279
13,610,203,290
14,609,195,299
15,608,171,324
16,608,158,337
17,608,148,347
18,608,137,358
19,608,128,367
20,608,121,374
21,608,109,386
22,608,105,390
23,608,96,399
24,608,88,407
25,608,79,416
26,608,75,420
27,608,71,424
28,608,65,430
29,608,56,439
30,608,50,445
31,608,46,449
32,608,40,455
33,608,37,458
34,608,36,459
35,608,33,462
36,608,32,463
37,608,29,466
38,608,25,470
39,608,25,470
40,608,24,471
41,608,23,472
42,608,20,475
43,608,19,476
44,608,18,477
45,608,15,480
46,608,13,482
47,608,12,483
48,608,11,484
49,608,10,485
50,608,10,485
51,608,10,485
52,608,10,485
53,608,9,486
54,608,7,488
55,608,7,488
56,608,6,489
57,608,6,489
58,608,5,490
59,608,5,490
