tick,S,I,R
0,563,567,31
1,514,573,74
2,462,581,118
3,432,574,155
4,408,552,201
5,396,516,249
6,382,500,279
7,373,468,320
8,366,431,364
9,364,404,393
10,357,372,432
11,355,351,455
12,352,333,476
13,351,311,499
14,349,283,529
15,346,262,553
16,346,244,571
17,346,232,583
18,346,206,609
19,346,191,624
20,346,177,638
21,346,162,653
22,346,150,665
23,346,138,677
24,346,125,690
25,346,114,701
26,346,103,712
27,346,98,717
28,346,90,725
29,346,82,733
30,346,74,741
31,346,64,751
32,346,59,756
33,346,53,762
34,346,53,762
35,346,51,764
36,346,49,766
37,346,46,769
38,346,41,774
39,346,39,776
40,346,34,781
41,346,30,785
42,346,29,786
43,346,29,786
44,346,28,787
45,346,25,790
46,346,24,791
47,346,24,791
48,346,22,793
49,346,19,796
50,346,17,798
51,346,17,798
52,346,14,801
53,346,13,802
54,346,11,804
55,346,9,806
56,346,7,808
57,346,7,808
58,346,5,810
59,346,5,810
