tick,S,I,R
0,637,492,32
1,637,462,62
2,637,431,93
3,637,388,136
4,637,370,154
5,637,344,180
6,637,320,204
7,637,302,222
8,637,288,236
9,637,260,264
10,637,242,282
11,637,229,295
12,637,206,318
13,637,191,333
14,637,171,353
15,637,158,366
16,637,151,373
17,637,138,386
18,637,128,396
19,637,117,407
20,637,111,413
21,637,107,417
22,637,100,424
23,637,88,436
24,637,81,443
25,637,71,453
26,637,66,458
27,637,60,464
28,637,52,472
29,637,49,475
30,637,44,480
31,637,42,482
32,637,37,487
33,637,35,489
34,637,34,490
35,637,31,493
36,637,28,496
37,637,27,497
38,637,27,497
39,637,25,499
40,637,23,501
41,637,22,502
42,637,21,503
43,637,20,504
44,637,19,505
45,637,19,505
46,637,17,507
47,637,16,508
48,637,15,509
49,637,15,509
50,637,14,510
51,637,14,510
52,637,13,511
53,637,12,512
54,637,11,513
55,637,9,515
56,637,8,516
57,637,7,517
58,637,6,518
59,637,6,518
