tick,S,I,R
0,563,523,75
1,534,517,110
2,498,514,149
3,484,496,181
4,470,466,225
5,457,441,263
6,438,431,292
7,433,399,329
8,426,372,363
9,421,351,389
10,416,333,412
11,412,318,431
12,407,300,454
13,402,278,481
14,401,266,494
15,399,252,510
16,398,234,529
17,397,223,541
18,397,204,560
19,397,187,577
20,397,179,585
21,396,169,596
22,396,154,611
23,396,143,622
24,396,129,636
25,396,122,643
26,396,112,653
27,396,104,661
28,396,95,670
29,396,87,678
30,395,78,688
31,395,72,694
32,395,65,701
33,395,61,705
34,395,55,711
35,395,53,713
36,395,48,718
37,395,46,720
38,395,43,723
39,395,40,726
40,395,37,729
41,395,35,731
42,395,32,734
43,395,29,737
44,395,26,740
45,395,25,741
46,395,24,742
47,395,22,744
48,395,22,744
49,395,21,745
50,395,20,746
51,395,20,746
52,395,19,747
53,395,19,747
54,395,18,748
55,395,17,749
56,395,16,750
57,395,16,750
58,395,15,751
59,395,14,752
